,db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
283,NBA,일반,"올랜매직
점수
83 :
점수
116 보스셀틱","승
3.48배당률 상승
-패
1.16배당률 하락","02.07 (월)
08:00"
284,NBA,핸디캡,"올랜매직
점수
91.5
H +8.5
사전조건 변경
:
점수
116 보스셀틱","승
1.74배당률 하락
-패
1.74배당률 상승","02.07 (월)
08:00"
285,NBA,언더오버,"올랜매직
U/O 215.5
총 점수
199 보스셀틱","U
1.74
-O
1.74","02.07 (월)
08:00"
286,NBA,일반,"댈러매버
점수
103 :
점수
94 애틀호크","승
1.51
-패
2.05","02.07 (월)
08:00"
287,NBA,핸디캡,"댈러매버
점수
100.5
H -2.5
:
점수
94 애틀호크","승
1.75
-패
1.73","02.07 (월)
08:00"
288,NBA,언더오버,"댈러매버
U/O 220.5
총 점수
197 애틀호크","U
1.72
-O
1.76","02.07 (월)
08:00"
289,NBA,일반,"휴스로케
점수
107 :
점수
120 뉴올펠리","승
2.63배당률 상승
-패
1.30배당률 하락","02.07 (월)
09:00"
290,NBA,핸디캡,"휴스로케
점수
112.5
H +5.5
사전조건 변경
:
점수
120 뉴올펠리","승
1.75
-패
1.73","02.07 (월)
09:00"
291,NBA,언더오버,"휴스로케
U/O 227.5
사전조건 변경
총 점수
227 뉴올펠리","U
1.74
-O
1.74","02.07 (월)
09:00"
292,NBA,일반,"LA클리퍼
점수
113 :
점수
137 밀워벅스","승
2.45
-패
1.35","02.07 (월)
11:00"
293,NBA,핸디캡,"LA클리퍼
점수
117.5
H +4.5
:
점수
137 밀워벅스","승
1.82배당률 상승
-패
1.67배당률 하락","02.07 (월)
11:00"
294,NBA,언더오버,"LA클리퍼
U/O 226.5
총 점수
250 밀워벅스","U
1.74
-O
1.74","02.07 (월)
11:00"
295,A리그,일반,"웨스원더
점수
0 :
점수
1 웨스유나","승
2.08배당률 상승
무
3.20배당률 하락
패
2.80배당률 하락","02.05 (토)
15:05"
296,A리그,핸디캡,"웨스원더
점수
-1
H -1.0
:
점수
1 웨스유나","승
4.25배당률 상승
무
3.85배당률 상승
패
1.53배당률 하락","02.05 (토)
15:05"
297,A리그,언더오버,"웨스원더
U/O 2.5
총 점수
1 웨스유나","U
1.77
-O
1.71","02.05 (토)
15:05"
